eventName,sponsorName,logoPath,priority
Tech Summit 2026,TechCorp Solutions,./assets/sponsors/techcorp.png,1
Tech Summit 2026,Innovation Labs,./assets/sponsors/innovation_labs.png,2
Tech Summit 2026,Digital Future Inc,./assets/sponsors/digital_future.png,3
Mind Games 2026,BrainPower Ltd,./assets/sponsors/brainpower.png,1
Mind Games 2026,Strategic Minds Co,./assets/sponsors/strategic_minds.png,2
Aqua Championship 2026,AquaTech Industries,./assets/sponsors/aquatech.png,1
Aqua Championship 2026,WaterSports Global,./assets/sponsors/watersports.png,2
Aqua Championship 2026,Marine Solutions,./assets/sponsors/marine.png,3
National Athletics Meet,Sports Authority,./assets/sponsors/sports_auth.png,1
Inter-State Football League,Football Federation,./assets/sponsors/football_fed.png,1
Inter-State Football League,Athletic Gear Pro,./assets/sponsors/athletic_gear.png,2
College Basketball Championship,Campus Sports,./assets/sponsors/campus_sports.png,1
Grand Slam Open 2026,Tennis Excellence,./assets/sponsors/tennis_excellence.png,1
Grand Slam Open 2026,Racket Masters,./assets/sponsors/racket_masters.png,2
Precision Archery Contest,Target Pro,./assets/sponsors/target_pro.png,1
TT Masters 2026,Paddle Champions,./assets/sponsors/paddle_champs.png,1
TT Masters 2026,TableTech Co,./assets/sponsors/tabletech.png,2
Volleyball Premier League,VolleyPro International,./assets/sponsors/volleypro.png,1
